id,rank,name,symbol,slug,is_active,first_historical_data,last_historical_data,platform
1,1,Bitcoin,BTC,bitcoin,1,2010-07-13T00:00:00.000Z,2023-06-06T09:49:00.000Z,
2,12,Litecoin,LTC,litecoin,1,2013-04-28T18:47:22.000Z,2023-06-06T09:49:00.000Z,
3,573,Namecoin,NMC,namecoin,1,2013-04-28T18:47:22.000Z,2023-06-06T09:49:00.000Z,
4,2029,Terracoin,TRC,terracoin,1,2013-04-28T18:47:22.000Z,2023-06-06T09:49:00.000Z,
5,763,Peercoin,PPC,peercoin,1,2013-04-28T18:47:23.000Z,2023-06-06T09:49:00.000Z,
6,2187,Novacoin,NVC,novacoin,1,2013-04-28T18:47:23.000Z,2023-06-06T09:49:00.000Z,
8,1553,Feathercoin,FTC,feathercoin,1,2013-05-03T03:25:15.000Z,2023-06-06T09:49:00.000Z,
10,2257,Freicoin,FRC,freicoin,1,2013-05-03T03:25:15.000Z,2023-06-06T09:49:00.000Z,
13,1691,Ixcoin,IXC,ixcoin,1,2013-05-08T05:20:18.000Z,2023-06-06T09:49:00.000Z,
16,4994,WorldCoin,WDC,worldcoin,1,2013-05-22T03:20:20.000Z,2023-06-06T09:49:00.000Z,
18,2357,Digitalcoin,DGC,digitalcoin,1,2013-06-09T17:55:21.000Z,2023-06-06T09:49:00.000Z,
25,1751,Goldcoin,GLC,goldcoin,1,2013-06-14T06:45:28.000Z,2023-06-06T09:49:00.000Z,
35,1464,Phoenixcoin,PXC,phoenixcoin,1,2013-07-04T05:15:49.000Z,2023-06-06T09:49:00.000Z,
42,1313,Primecoin,XPM,primecoin,1,2013-07-11T03:21:19.000Z,2023-06-06T09:49:00.000Z,
43,2456,Anoncoin,ANC,anoncoin,1,2013-07-15T01:31:35.000Z,2023-06-06T09:49:00.000Z,
45,5142,CasinoCoin,CSC,casinocoin,1,2013-07-25T03:06:28.000Z,2023-06-06T09:49:00.000Z,
52,6,XRP,XRP,xrp,1,2013-08-04T18:51:05.000Z,2023-06-06T09:49:00.000Z,
53,1828,Quark,QRK,quark,1,2013-08-25T17:46:22.000Z,2023-06-06T09:49:00.000Z,
56,2315,Zetacoin,ZET,zetacoin,1,2013-09-11T01:47:21.000Z,2023-06-06T09:49:00.000Z,
61,2152,TagCoin,TAG,tagcoin,1,2013-11-05T13:32:08.000Z,2023-06-06T09:49:00.000Z,
64,2337,Public Index Network,PIN,public-index-network,1,2013-11-27T06:01:46.000Z,2023-06-06T09:49:00.000Z,
66,1122,Nxt,NXT,nxt,1,2013-12-04T05:46:40.000Z,2023-06-06T09:49:00.000Z,
67,8922,Unobtanium,UNO,unobtanium,1,2013-12-21T18:17:35.000Z,2023-06-06T09:49:00.000Z,
69,2499,Datacoin,DTC,datacoin,1,2013-12-07T19:47:06.000Z,2023-06-06T09:49:00.000Z,
72,1928,Deutsche eMark,DEM,deutsche-emark,1,2013-12-15T01:52:15.000Z,2023-06-06T09:49:00.000Z,
