id,rank,name,symbol,slug,is_active,first_historical_data,last_historical_data,platform
2379,1705,Kcash,KCASH,kcash,1,2018-01-12T19:39:19.000Z,2023-06-07T04:29:00.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x32d74896f05204d1b6ae7b0a3cebd7fc0cd8f9c7'}"
2386,2617,KZ Cash,KZC,kz-cash,1,2018-01-13T23:34:18.000Z,2023-06-07T04:29:00.000Z,
2387,895,Bitcoin Atom,BCA,bitcoin-atom,1,2018-01-13T23:34:18.000Z,2023-06-07T04:29:00.000Z,
2391,2354,EchoLink,EKO,echolink,1,2018-01-14T17:04:19.000Z,2023-06-07T04:29:00.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xa6a840e50bcaa50da017b91a0d86b8b2d41156ee'}"
2392,1881,Bottos,BTO,bottos,1,2018-01-14T17:29:17.000Z,2023-06-07T04:29:00.000Z,
2394,247,Telcoin,TEL,telcoin,1,2018-01-15T00:19:18.000Z,2023-06-07T04:29:00.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x467bccd9d29f223bce8043b84e8c8b282827790f'}"
2395,2444,Ignition,IC,ignition,1,2018-01-15T00:19:18.000Z,2023-06-07T04:29:00.000Z,
2396,2637,WETH,WETH,weth,1,2018-01-14T19:09:18.000Z,2023-06-07T04:29:00.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2'}"
2398,427,SelfKey,KEY,selfkey,1,2018-01-15T17:34:19.000Z,2023-06-07T04:29:00.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x4cc19356f2d37338b9802aa8e8fc58b0373296e7'}"
2399,1338,INT,INT,int-chain,1,2018-01-15T17:54:19.000Z,2023-06-07T04:29:00.000Z,
2400,2518,OneRoot Network,RNT,oneroot-network,1,2018-01-15T19:04:19.000Z,2023-06-07T04:29:00.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xff603f43946a3a28df5e6a73172555d8c8b02386'}"
2405,155,IOST,IOST,iostoken,1,2018-01-16T01:44:18.000Z,2023-06-07T04:29:00.000Z,
2407,1465,AICHAIN,AIT,aichain,1,2018-01-16T05:54:19.000Z,2023-06-07T04:29:00.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x79650799e7899a802cb96c0bc33a6a8d4ce4936c'}"
2410,894,SpaceChain,SPC,spacechain,1,2018-01-17T00:04:26.000Z,2023-06-07T04:29:00.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x86ed939b500e121c0c5f493f399084db596dad20'}"
2415,1924,ArbitrageCT,ARCT,arbitragect,1,2018-01-17T17:34:26.000Z,2023-06-07T04:29:00.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x1245ef80f4d9e02ed9425375e8f649b9221b31d8'}"
2416,56,Theta Network,THETA,theta-network,1,2018-01-17T17:34:26.000Z,2023-06-07T04:29:00.000Z,
2419,8236,Profile Utility Token,PUT,profile-utility-token,1,2018-01-17T17:34:26.000Z,2023-06-07T04:29:00.000Z,
