Username,Name,Location,Email,Public Repos,Repositories
great-expectations,Great Expectations Core,United States of America,info@greatexpectations.io,4,"great-expectations-contrib-cookiecutter, great_expectations, great_expectations_action, gx_tutorials"
DataTalksClub,DataTalksClub,World wide,alexey@datatalks.club,18,"awesome-data-podcasts, course-management-platform, course-management-platform-old, data-analytics-interviews, data-engineering-zoomcamp, data-paths, datatalksclub.github.io, fashion, kitchenware-competition-starter, mlops-zoomcamp, mlzoomcamp.com, nyc-tlc-data, project-of-the-week, reading-club-books, reading-club-nlp, website-django, whylogs-workshop, zoomcamp-analytics"
growthbook,GrowthBook,,info@growthbook.io,18,"ab-designer, devtools, dom-mutator, examples, growthbook, growthbook-c-sharp, growthbook-cli, growthbook-golang, growthbook-js, growthbook-kotlin, growthbook-php, growthbook-proxy, growthbook-python, growthbook-react, growthbook-ruby, growthbook-sdk-java, growthbook-swift, growthbook-vsce"
whoiskatrin,whoiskatrin,"London, UK",,15,"a---algorithm-pathfinding, broken-urls-finder, camelot, chart-gpt, color-analyzer-winform, datasphere-dbt, financial-statement-pdf-extractor, npm-copilot, product-story, prometheus-exporter, rightmove-scraper, sql-translator, stytch-python, twitterbio, vectordbs"
treeverse,Treeverse,,info@treeverse.io,32,"airbyte, airflow-provider-lakeFS, airflow-provider-lakeFS-testing-fork, awesome-data-engineering, blog-presto-local, blogs, boto-s3-router, charts, cloud-sample-repo-hooks, dais-challenge, docker-swagger-spec-validator, docker-thrift, docs-lakeFS, golang-lru, hadoop-router-fs, homebrew-lakefs, hub, katacoda-playground, lakeFS, lakeFS-axolotl-the-developer-mascot, lakeFS-hooks, lakefs-metastore-clone, lakefs-playground-utils, lakeFS-samples, lakeview, marketplace-kubernetes, openapi-generator, openshift-helm-charts, pebble, s3proxy"
airbytehq,Airbyte,United States of America,contact@airbyte.io,46,"airbyte, airbyte-actions, airbyte-api-java-sdk, airbyte-api-python-sdk, airbyte-e2e-testing-tool, airbyte-native-demo, airbyte-platform, airbyte-protocol, airbyte-types, aircmd, airflow-summit-airbyte-2022, connector-contest, dagster-langchain, DeveloperWeek-Connector-Contest, ec2-github-runner, glossary, gradle-docker, helm-charts, ink, integration-test, jaffle_shop, json-avro-converter, jsongenerator, mvp-cms, octokit-graphql-action, open-data-stack, openapi2jsonschema, pipelinewise-tap-google-analytics, pipelinewise-tap-twilio, pull-request-comment-trigger"
aws,Amazon Web Services,"Seattle, WA",,406,".github, actions-dev-kit, amazon-braket-build-tools, amazon-braket-containers, amazon-braket-default-simulator-python, amazon-braket-examples, amazon-braket-ocean-plugin-python, amazon-braket-pennylane-plugin-python, amazon-braket-schemas-python, amazon-braket-sdk-python, amazon-braket-strawberryfields-plugin-python, amazon-chime-sdk-android, amazon-chime-sdk-component-library-react, amazon-chime-sdk-cpp, amazon-chime-sdk-ios, amazon-chime-sdk-ios-spm, amazon-chime-sdk-js, amazon-cloudwatch-agent, amazon-cloudwatch-agent-test, amazon-cloudwatch-logs-for-fluent-bit, amazon-codeguru-jupyterlab-extension, amazon-codeguru-profiler-python-agent, amazon-cognito-dotnet, amazon-cognito-sync-manager-net, amazon-connect-wisdomjs, amazon-documentdb-jdbc-driver, amazon-documentdb-odbc-driver, amazon-ec2-hibinit-agent, amazon-ec2-instance-selector, amazon-ec2-metadata-mock"
cloudquery,CloudQuery,,info@cloudquery.io,45,".github, arrow, arrow-site, clickhouse-go, cloudquery, cloudrun-example, codegen, cq-provider-aws, cq-provider-azure, cq-provider-cloudflare, cq-provider-digitalocean, cq-provider-gcp, cq-provider-github, cq-provider-k8s, cq-provider-okta, cq-provider-sdk, cq-provider-terraform, cq-source-plaid, cq-source-scaleway, cq-source-simple-analytics, cq-source-simpleanalytics, cq-source-swetrix, deploy-cq-aws, docs, faker, filetypes, go-duckdb, go-funk, golangci-lint-action, helm-charts"
eugeneyan,Eugene Yan,Seattle,,70,"1-on-1s, ama, applied-ml, applyingml, awesome-fastapi, awesome-mlops, awesome-self-supervised-learning, Computational-Thinking-and-Data-Science, Computer-Science-and-Programming-In-Python, Data-Analysis-and-Statistical-Inference-Project, datagene, deep-rl, DeepLearningBook, Demand-Forecasting, design-patterns, devtools-angels, discord-llm, DKSG-HOME, dssg, eslint-plugin-react, eugeneyan, eugeneyan-comments, evals, fastapi-html, Getting-and-Cleaning-Data, Interactive-Programming-in-Python, IPython-notebook-extensions, ISLR-Labs, json-to-utterances, kaggle_otto"
adilkhash,Adylzhan Khashtamov,"Almaty, Kazakhstan",,70,"adilkhash, airflow-taskflow-api-examples, airflow_api, amadeus-python, ansible-django-stack, apache-airflow-course-materials, apache-airflow-intro, apache-airflow-xcom-examples, appmetrica-logs-api, awesome-bots, awesome-data-engineering, awesome-distributed-systems, aws-meetup-almaty-2019-data-lake, cookiecutter-django-starter, course-starter-python, data-engineering-blogs, Data-Engineering-HowTo, datapipelinesbook, django-assets, django-bootstrap-pagination, django-cbv-webinar-yandex, django-celery, django-docker, django-email-extras, django-files-widget, django-qiwi-kassa, django-redactor3, django-remote-forms, django-rq, django-star-ratings"
